title,type,url,language,availability,quality,description,notebooklm_ok,category,tags
Sacred Texts — Hinduism,Website,https://www.sacred-texts.com/hin/index.htm,EN,Free,5,Индийские тексты,Yes,Sacred Texts,#hinduism
Sacred Texts — Buddhism,Website,https://www.sacred-texts.com/bud/index.htm,EN,Free,4,Буддийские тексты,Yes,Sacred Texts,#buddhism
Sacred Texts — Taoism,Website,https://www.sacred-texts.com/tao/index.htm,EN,Free,5,Даосские тексты,Yes,Sacred Texts,#taoism
Sacred Texts — Christianity,Website,https://www.sacred-texts.com/chr/index.htm,EN,Free,4,Христианские тексты,Yes,Sacred Texts,#christianity
Sacred Texts — Islam,Website,https://www.sacred-texts.com/isl/index.htm,EN,Free,4,Исламские тексты,Yes,Sacred Texts,#islam
Quran.com,Website,https://quran.com/,EN,Free,5,Коран с переводами,Yes,Sacred Texts,#quran
Bible Gateway,Website,https://www.biblegateway.com/,EN,Freemium,5,Множество переводов,Yes,Sacred Texts,#bible
Russian Bible Society,Website,https://www.bible.ru/,RU,Free,4,Русские переводы,Yes,Sacred Texts,#bible
Blue Letter Bible,Website,https://www.blueletterbible.org/,EN,Free,4,Библейский сайт,Yes,Sacred Texts,#bible
Tafsir Ibn Kathir,Website,https://quran.com/tafsir,EN,Free,4,Тафсир,Yes,Sacred Texts,#tafsir
Russian Wikisource,Website,https://ru.wikisource.org/,RU,Free,4,Публичные тексты,Yes,Sacred Texts,#wikisource
