title,type,url,language,availability,quality,description,notebooklm_ok,category,tags
Sacred Texts — Western Esoteric,Website,https://sacred-texts.com/eso/index.htm,EN,Free,5,Архив западных эзотерических текстов,Yes,Western Esotericism,#esoterica #archive
Online Hermetic Library,Website,https://www.hermetics.org/library/Library_Ancient.html,EN,Free,4,Древние и эзотерические тексты,Yes,Hermeticism,#hermeticism
Sacred Texts — Gnosticism,Website,https://www.sacred-texts.com/gnostic/,EN,Free,5,Гностические тексты,Yes,Gnosticism,#gnostic
Sacred Texts — Kabbalah,Website,https://www.sacred-texts.com/jud/index.htm,EN,Free,5,Каббалистические тексты,Yes,Kabbalah,#kabbalah
Sacred Texts — Hermetic,Website,https://sacred-texts.com/eso/,EN,Free,5,Герметизм и алхимия,Yes,Hermeticism,#hermeticism
Britannica — kabbalah,Article,https://www.britannica.com/topic/Kabbala,EN,Free,4,Справка,Yes,Kabbalah,#britannica
Britannica — alchemy,Article,https://www.britannica.com/topic/alchemy,EN,Free,4,Вводная статья,Yes,Alchemy,#britannica
Britannica — gnosticism,Article,https://www.britannica.com/topic/Gnosticism,EN,Free,4,Обзор,Yes,Gnosticism,#britannica
Britannica — hermeticism,Article,https://www.britannica.com/topic/Hermeticism,EN,Free,4,Обзор,Yes,Hermeticism,#britannica
Wikipedia — Hermeticism,Article,https://en.wikipedia.org/wiki/Hermeticism,EN,Free,3,Обзор,Yes,Hermeticism,#wikipedia
Wikipedia — Gnosticism,Article,https://en.wikipedia.org/wiki/Gnosticism,EN,Free,3,Обзор,Yes,Gnosticism,#wikipedia
Wikipedia — Kabbalah,Article,https://en.wikipedia.org/wiki/Kabbalah,EN,Free,3,Обзор,Yes,Kabbalah,#wikipedia
Wikipedia — Alchemy,Article,https://en.wikipedia.org/wiki/Alchemy,EN,Free,3,Обзор,Yes,Alchemy,#wikipedia
Internet Encyclopedia of Philosophy — alchemy,Article,https://iep.utm.edu/alchem/,EN,Free,4,Философская статья,Yes,Alchemy,#iep
Wikipedia — Alchemy,Article,https://en.wikipedia.org/wiki/Alchemy,EN,Free,3,Обзор,Yes,Alchemy,#wikipedia
Archive.org — Three Books of Occult Philosophy,Website,https://archive.org/search?query=Three+Books+of+Occult+Philosophy,EN,Free,4,Агриппа,Yes,Western Esotericism,#agrippa
Archive.org — Manual of Occultism,Website,https://archive.org/search?query=Manual+of+Occultism,EN,Free,4,Sepharial,Yes,Western Esotericism,#sepharial
Archive.org — Sex and the Occult,Website,https://archive.org/search?query=Sex+and+the+Occult,EN,Free,3,Культурное исследование,Yes,Western Esotericism,#occult
