title,type,url,language,availability,quality,description,notebooklm_ok,category,tags
Истоки Оккультизма — Theosophical Society,PDF,https://www.theosociety.org/pasadena/fso-ru/FSO-ru_eBook.pdf,RU,Free,4,Теософский PDF,Yes,Theosophy,#theosophy
Theosophical Society resources,Website,https://www.theosociety.org/,EN,Free,4,Официальные материалы,Yes,Theosophy,#theosophy
Blavatsky Study Center,Website,https://www.blavatsky.net/,EN,Free,4,Материалы по Блаватской,Yes,Theosophy,#blavatsky
Annie Besant texts,Website,https://www.theosociety.org/pasadena/arc_besant/arc_besant.htm,EN,Free,4,Архив текстов Безант,Yes,Theosophy,#besant
C.W. Leadbeater archive,Website,https://www.theosociety.org/pasadena/arc_leadbeater/arc_leadbeater.htm,EN,Free,4,Архив текстов Ледбитера,Yes,Theosophy,#leadbeater
Rudolf Steiner Archive,Website,https://rsarchive.org/,EN,Free,5,Крупный архив Штайнера,Yes,Anthroposophy,#steiner
Anthroposophy Research Center,Website,https://www.anthroposophy.org/,EN,Free,3,Официальный центр,Yes,Anthroposophy,#anthroposophy
Britannica — theosophy,Article,https://www.britannica.com/topic/Theosophy,EN,Free,4,Справка,Yes,Theosophy,#britannica
Britannica — anthroposophy,Article,https://www.britannica.com/topic/Anthroposophy,EN,Free,4,Справка,Yes,Anthroposophy,#britannica
Wikipedia — Theosophy,Article,https://en.wikipedia.org/wiki/Theosophy,EN,Free,3,Обзор,Yes,Theosophy,#wikipedia
Wikipedia — Anthroposophy,Article,https://en.wikipedia.org/wiki/Anthroposophy,EN,Free,3,Обзор,Yes,Anthroposophy,#wikipedia
RSArchive — GA 127,Website,https://rsarchive.org/GA127.html,EN,Free,4,Лекция Штайнера,Yes,Anthroposophy,#steiner
RSArchive — GA 120,Website,https://rsarchive.org/GA120.html,EN,Free,4,Лекция Штайнера,Yes,Anthroposophy,#steiner
RSArchive — GA 194,Website,https://rsarchive.org/GA194.html,EN,Free,4,Лекция Штайнера,Yes,Anthroposophy,#steiner
